brand,model,link,date,price,title,subtitle,f1,f2,f3,year,hp,range,kp,dtp,fuel,location,desc
vw,cc,https://auto.ria.com/uk/auto_volkswagen_cc_passat_cc_37489219.html,2024-12-16-14-09,9200, volkswagen cc / passat cc 2010, i покоління • 2.0tsi mt (210 к.с.) • base, i покоління , 2.0tsi mt (210 к.с.) , base,2010,210,229,0,1,1,Запоріжжя,"дах затягнутий чорною плівкою.передні і задні фари відполіровані, задні затягнуті в темну плівку.з америки було вм`яте передне праве крило, витягнули без пiдкрасiв.технічно автомобіль повністю справний.в авто замінено всі форсунки та прокладки в серпні місяці.замiна маслa кожні 6-7 тисяч.!!! вирізано каталізатор, автомобіль з басистим вихлопом + встановлено нульовик.торг при зустрічі."
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vw,cc,https://auto.ria.com/uk/auto_volkswagen_cc_passat_cc_37151665.html,2024-12-16-14-09,9100, volkswagen cc / passat cc 2011, i покоління, i покоління,,,2011,-1,199,1,1,1,Червоноград • Львівська обл.,
vw,cc,https://auto.ria.com/uk/auto_volkswagen_cc_passat_cc_34930094.html,2024-12-16-14-09,10300, volkswagen cc / passat cc 2014, 2.0tsi mt (210 к.с.) • sport life, 2.0tsi mt (210 к.с.) , sport life,,2014,210,124,0,1,1,Львів,"авто у доброму стані, не бите: було замінено масляний насос та зроблено обслуговування.кузов вхорошому стані, є сколи на бампері,перекрашений дах в чорний колір, оскільки при транспортуванні приїхала з царапиною на даху.деталі по телефон уабо вайберу."
vw,cc,https://auto.ria.com/uk/auto_volkswagen_cc_passat_cc_37612270.html,2024-12-16-14-09,13700, volkswagen cc / passat cc 2013, i покоління (fl) • 2.0tdi dsg (184 к.с.) 4motion • r-line, i покоління (fl) , 2.0tdi dsg (184 к.с.) 4motion , r-line,2013,184,214,1,0,0,"Київ, вул. Балтійський провулок 20","повнопривідний дизельний passat cc у відмінній комплектації та без дтпавтомобіль з-під одного господаря, з усією сервісною історією з чеками та актами. на 100% обслужений автомобіль.фарбовано 2 елементи з косметичних міркувань, жодних дтп.оснащений найпотужнішим дизельним 2.0 двигуном на 184 к.с. у парі з автоматичною коробкою dq250 та системою повного приводу.єкологія на місці!з плюшок комплектації - шкіряний салон nappa (не плутати з китайськими напів пластиковими) , панорама, пам'ять сидінь, адаптивна підвіска зі зміною жорсткості, підігрів сидінь, камера заднього виду, датчики світла та дощу.візуально та технічно passat- в відмінному станіу ходу - дуже приємна машина, без сторонніх звуківклімат справнийсалон у хорошому станіжодного рижика на кузові або дні.двигун та акпп сухі, без підтікань чи запотіваньходова обслужена , ніяких сторонніх звуківви можете придбати цей автомобіль у кредит або лізинг (перший внесок від 25%, терміном до 5 років)ми знаходимося за адресою м.київ, провулок балтійський, 20, працюємо без перерв та вихідних з 10:00 до 19:00 (нд за домовленістю)автомобіль перевіряється в сервісах, яким ви довіряєте, у зручний для вас час. розрахунок лише після повного переоформлення в мрев.в наявності завжди більше 70 автомобілів, будемо раді вас бачити!"
vw,cc,https://auto.ria.com/uk/auto_volkswagen_cc_passat_cc_37488724.html,2024-12-16-14-09,9900, volkswagen cc / passat cc 2012, i покоління (fl), i покоління (fl),,,2012,-1,185,1,1,1,Київ,"авто в нормальному стані купував з мінімальними пошкодження (була замина бампера, крыла, фари,) є всі необхідні опції для комфортності експлуатації. торг мінімальними при огляді."
vw,cc,https://auto.ria.com/uk/auto_volkswagen_cc_passat_cc_30876779.html,2024-12-16-14-09,11000, volkswagen cc / passat cc 2012, i покоління (fl), i покоління (fl),,,2012,-1,60,1,1,1,Новоселиця • Чернівецька обл.,"автомобиль в нормальном состоянии,пригнан из сша,покупал лично для себя,первая регистрация,которая стоит не дёшево,машина очень резвая,новая зимняя резина,по поводу остальных вопросах звоните по телефону(viber)"
vw,cc,https://auto.ria.com/uk/auto_volkswagen_cc_passat_cc_37609993.html,2024-12-16-14-09,7950, volkswagen cc / passat cc 2013, i покоління (fl) • sport life, i покоління (fl) , sport life,,2013,-1,195,1,1,1,Тернопіль,продам своє авто в дуже хорошому станітехнічний стан авто на тверду 5жодної помилки на щитку приборівлюбий вид переоформлення
vw,cc,https://auto.ria.com/uk/auto_volkswagen_cc_passat_cc_37203765.html,2024-12-16-14-09,12500, volkswagen cc / passat cc 2014, i покоління (fl) • 3.6fsi dsg (300 к.с.) 4motion, i покоління (fl) , 3.6fsi dsg (300 к.с.) 4motion,,2014,300,220,1,1,1,Дніпро (Дніпропетровськ),"авто повністю на ходу, все працює, запчастини замінені. додаткових вкладень не потребує. є додатковий комплект гуми."
,,,,,,,,,,,,,,,,,
vw,golf,https://auto.ria.com/uk/auto_volkswagen_golf_37204018.html,2024-12-16-14-09,11400, volkswagen golf 2014, vii покоління/typ 5g • 1.6 tdi dsg (105 к.с.), vii покоління/typ 5g , 1.6 tdi dsg (105 к.с.),,2014,105,219,1,0,0,"Львів, Щирецька 36","надаємо кредит, обмін, тест драйв."
vw,golf,https://auto.ria.com/uk/auto_volkswagen_golf_37057846.html,2024-12-16-14-09,11200, volkswagen golf 2016, vii покоління/typ 5g, vii покоління/typ 5g,,,2016,-1,105,0,1,1,Буча • Київська обл.,"продам volkswagen golf 1.8 tsi.авто в гарному стані, без пробігу по україні.зроблено то,заміна масел,фільтрів,антифрізу.без капітало вкладень сів поїхав.відновлена безпека.можливий обмін,на обмін. дорожче."
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
